ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400204,0.2283521902356724,0.7116114122133205,Johnson [TX30],Democrat,rank-and-file Democrat,11,157,210,415
400237,0.0,0.8150908932662739,Lee [CA13],Democrat,progressive Democratic leader,28,285,173,460
412525,0.9076949099143337,0.9037938413224619,Yoho,Republican,conservative Republican leader,15,97,141,201
412630,0.9155921732083606,0.47079051881622047,Abraham,Republican,conservative Republican,3,55,32,36
412539,0.7100200758739841,0.7168832450038315,Brooks [IN5],Republican,moderate Republican leader,2,77,6,6
400618,0.43487221249793934,0.13573172437115158,Costa,Democrat,centrist Democratic follower,1,80,7,7
412444,0.87125683642091,0.6284998261939054,Hartzler,Republican,conservative Republican,8,106,144,230
412623,0.9397620804273089,0.6008543092793767,Hice,Republican,conservative Republican,11,101,88,121
412673,0.7713955996892368,0.4743744868180664,Kelly [MS1],Republican,rank-and-file Republican,7,71,139,177
400263,0.14508978427898758,0.5839682781082738,McGovern,Democrat,progressive Democrat,12,382,54,66
412315,0.4837402260484645,0.6683215803758865,Schrader,Democrat,centrist Democrat,8,85,267,312
400417,0.3600011076082635,0.0759537865866782,Visclosky,Democrat,centrist Democratic follower,1,70,9,9
412259,0.19547868821270642,0.8443824210013798,Speier,Democrat,progressive Democratic leader,17,194,248,525
412404,0.1534818263313217,0.8006719889173943,Bass,Democrat,progressive Democratic leader,9,150,193,259
412657,0.2138005190558277,0.758670304399158,Beyer,Democrat,moderate Democratic leader,7,177,173,273
400033,0.21519172982049053,0.8270218920225397,Blumenauer,Democrat,moderate Democratic leader,28,302,301,589
412516,0.30499997322343286,0.7711034010331329,Brownley,Democrat,moderate Democratic leader,28,224,311,603
400097,0.2349553034957701,0.8009518961462668,Davis [CA53],Democrat,moderate Democratic leader,5,162,207,290
412505,0.31598617058943806,0.6978541174757942,DelBene,Democrat,rank-and-file Democrat,5,176,35,37
412385,0.2682704243942728,0.8561109122947134,Deutch,Democrat,moderate Democratic leader,20,154,316,684
400162,0.04872744649840761,0.8274157777022392,Grijalva,Democrat,progressive Democratic leader,16,354,147,290
400641,0.2872672885618455,0.43697983208024854,Higgins [NY26],Democrat,rank-and-file Democrat,3,193,78,82
412511,0.2214206271775711,0.7657612111972861,Huffman,Democrat,moderate Democratic leader,15,179,186,437
412546,0.27495890115448285,0.6719023793632347,Kildee,Democrat,rank-and-file Democrat,11,124,120,165
412616,0.23090948204450462,0.7582266732689474,Lieu,Democrat,moderate Democratic leader,26,181,140,276
412521,0.19671417142415937,0.7124156916442665,Lowenthal,Democrat,progressive Democrat,9,279,145,244
400251,0.17090207814096153,1.0,Maloney [NY12],Democrat,progressive Democratic leader,23,187,321,939
412562,0.2843395373666437,0.74276138773193,Maloney [NY18],Democrat,rank-and-file Democrat,11,207,286,436
400259,0.20102585573969348,0.40262215358630377,McCollum,Democrat,progressive Democrat,7,256,65,71
400289,0.11029886780496027,0.8201624470484793,Nadler,Democrat,progressive Democratic leader,15,173,216,527
400290,0.17347759945140673,0.5892048451302422,Napolitano,Democrat,progressive Democrat,5,228,180,294
412606,0.3049863111279437,0.3957737860242021,Norcross,Democrat,rank-and-file Democrat,10,93,116,146
400295,0.03084322809566157,0.6817531292889637,Norton,Democrat,progressive Democrat,28,629,205,336
412523,0.3589788359233774,0.6421076043170589,Peters,Democrat,centrist Democrat,12,194,184,265
412585,0.20178652553128296,0.7121320416527606,Pocan,Democrat,rank-and-file Democrat,12,288,163,285
412331,0.22824499722026992,0.6926377641675869,Quigley,Democrat,rank-and-file Democrat,13,186,195,335
412519,0.3603109377712144,0.5809575784226707,Ruiz,Democrat,centrist Democrat,12,99,104,121
400360,0.0898935406328049,0.8388496571019239,Schakowsky,Democrat,progressive Democratic leader,12,400,294,492
400361,0.24636131851326054,0.6583503540172732,Schiff,Democrat,rank-and-file Democrat,7,204,127,188
400371,0.3353837457693467,0.41112363522654405,Sherman,Democrat,rank-and-file Democrat,9,149,50,67
412186,0.2542048776006654,0.39212694657966135,Sires,Democrat,rank-and-file Democrat,5,207,43,45
400379,0.16397316359718614,0.5692523122370073,Smith [WA9],Democrat,progressive Democrat,7,160,73,94
412520,0.14946708878153944,0.7776662316859498,Takano,Democrat,progressive Democratic leader,11,174,341,400
400416,0.15465786377872118,0.8170038437720182,Velázquez,Democrat,progressive Democratic leader,24,238,214,380
412239,0.3027906665289757,0.5511666579594109,Welch,Democrat,rank-and-file Democrat,17,236,86,121
412412,0.13210212108750205,0.5013357108976022,Wilson [FL24],Democrat,progressive Democrat,12,242,55,83
412283,0.7334231714900665,0.6425592395641195,Hunter,Republican,rank-and-file Republican,10,72,46,50
412522,0.23136986066879442,0.2496901618558123,Vargas,Democrat,rank-and-file Democrat,6,108,17,19
400616,0.2568875920862854,0.5869493396389289,Butterfield,Democrat,rank-and-file Democrat,4,94,3,3
412379,0.14108639356730457,0.7621650883340647,Chu,Democrat,progressive Democratic leader,14,182,208,423
412221,0.07667468232828313,0.5357679767019361,Clarke,Democrat,progressive Democrat,10,352,81,135
400074,0.29573396320438955,0.40526319224447266,Clay,Democrat,rank-and-file Democrat,4,141,24,24
400090,0.16229231465906915,0.6067215111266894,Cummings,Democrat,progressive Democrat,25,156,127,273
400093,0.18108558263369104,0.45782762350369893,Davis [IL7],Democrat,progressive Democrat,10,135,19,21
412613,0.1345560007967667,0.48482811776310736,DeSaulnier,Democrat,progressive Democrat,7,221,18,19
412637,0.21195738614309156,0.6020753849144576,Dingell,Democrat,rank-and-file Democrat,19,243,173,292
400199,0.10895022535746962,0.7512080921267832,Jackson Lee,Democrat,progressive Democratic leader,21,301,102,217
412561,0.17461351724883858,0.6375756000161418,Jeffries,Democrat,progressive Democrat,19,77,157,170
412199,0.18420203395727872,0.7801930653743253,Johnson [GA4],Democrat,progressive Democratic leader,6,265,210,427
412595,0.21031838301799077,0.7102312486891756,Kelly [IL2],Democrat,rank-and-file Democrat,8,185,126,211
412543,0.2775667753695372,0.7467422799217536,Kennedy,Democrat,rank-and-file Democrat,5,161,223,329
412638,0.1994225475370749,0.7114428756370462,Lawrence,Democrat,progressive Democrat,7,127,214,413
400240,0.14932801497058618,0.7297172807008557,Lewis,Democrat,progressive Democrat,7,115,111,147
400661,0.09286379285970041,0.461720492138652,Moore,Democrat,progressive Democrat,8,354,63,88
400347,0.15717606538969114,0.7486117023434491,Roybal-Allard,Democrat,progressive Democratic leader,7,224,235,395
400366,0.10143777755979307,0.42105055629740845,Serrano,Democrat,progressive Democrat,7,182,45,56
412416,0.5434518542085767,0.42030604423767404,Woodall,Republican,centrist Republican,2,29,30,30
400029,0.7250148990520846,0.7390878629011464,Bishop [UT1],Republican,moderate Republican leader,7,47,219,232
412563,0.8044341327767378,0.6765975358406109,Collins [NY27],Republican,rank-and-file Republican,6,113,11,11
412513,0.7388273587786005,0.4277184040754454,Cook,Republican,rank-and-file Republican,3,115,6,7
412472,0.9920706481054805,0.6593353194090323,Duncan,Republican,conservative Republican,9,95,80,148
400170,0.13755949323012687,0.7765132005736055,Hastings,Democrat,progressive Democratic leader,18,349,90,175
412465,0.8171893746626352,0.9017403039549785,Kelly [PA16],Republican,moderate Republican leader,3,95,78,92
400654,0.7496768886491733,0.9234908783837522,McCaul,Republican,moderate Republican leader,16,84,113,167
412660,0.8225959384492968,0.5660237690061715,Newhouse,Republican,conservative Republican,2,78,4,4
412309,0.8707614765510748,0.7560934947077859,Posey,Republican,conservative Republican leader,12,123,44,54
412432,0.25119221368628236,0.7582225347974565,Richmond,Democrat,moderate Democratic leader,6,118,19,23
400219,0.6021410139085513,0.8015183950393878,King [NY2],Republican,moderate Republican leader,16,166,160,230
400189,0.27321882774032025,0.3216510100987615,Hoyer,Democrat,rank-and-file Democrat,10,28,13,14
400309,0.30781640786237263,0.7934946811628698,Pascrell,Democrat,moderate Democratic leader,9,135,225,343
