ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400064,0.1928568033004091,0.9145844363884775,Cardin,Democrat,moderate Democratic leader,29,182,81,241
300065,0.20633893986880897,0.45512843306133516,Leahy,Democrat,rank-and-file Democrat,5,143,66,105
300089,0.6838351019052469,0.0266919881571947,Shelby,Republican,centrist Republican follower ,3,9,0,0
400272,0.2167304381601394,0.78324002442804,Menendez,Democrat,moderate Democratic leader,40,141,74,385
412490,0.05807036318027251,0.6338744692560907,Blumenthal,Democrat,progressive Democrat,28,337,48,121
412598,0.1542150712358267,0.6060936979800318,Booker,Democrat,rank-and-file Democrat,24,234,67,156
300019,0.32924721866916873,0.5330975206770705,Carper,Democrat,centrist Democrat,9,117,61,133
412390,0.3741891972014886,0.6403418012739416,Coons,Democrat,centrist Democrat,18,189,86,233
412223,0.021354356683355225,0.6102930023751778,Gillibrand,Democrat,progressive Democrat,24,214,69,207
412507,0.20558477668825093,0.5865270108228506,Schatz,Democrat,rank-and-file Democrat,25,114,49,186
300087,0.24273291287222015,0.38007214155914765,Schumer,Democrat,rank-and-file Democrat,11,84,48,86
412542,0.0950610708175193,0.6476400192886445,Warren,Democrat,progressive Democratic leader,27,243,73,227
400061,0.7472711662795094,0.3718272439754677,Capito,Republican,rank-and-file Republican,9,128,35,41
300002,0.6883627269928024,0.6278520410756245,Alexander,Republican,rank-and-file Republican,8,54,30,36
412251,0.9274815481383033,0.5958552331859893,Barrasso,Republican,conservative Republican,18,77,57,125
400034,0.8607587081064911,0.7136688407104579,Blunt,Republican,moderate Republican leader,15,97,63,109
400040,0.8955365169347804,0.5094811011459218,Boozman,Republican,conservative Republican,10,117,50,74
412269,0.7948442044349642,0.5614062680325118,Cassidy,Republican,rank-and-file Republican,19,76,66,116
300027,0.8779384092002459,0.9639890745316027,Cornyn,Republican,moderate Republican leader,33,93,77,218
412508,0.9115574090790631,0.35891464637290565,Cotton,Republican,conservative Republican,20,78,40,77
300030,0.8443165115073933,0.5736163853121438,Crapo,Republican,rank-and-file Republican,9,73,66,102
412573,0.9223666991805111,0.6330491108564352,Cruz,Republican,conservative Republican leader,20,77,78,170
412549,0.8938456468779796,0.49969661088582695,Daines,Republican,rank-and-file Republican,22,102,66,115
300041,0.9221100237975233,0.4705808493588164,Enzi,Republican,conservative Republican,16,65,44,63
